structure,level_one_gridspacing_a,level_one_gridspacing_b,level_one_gridspacing_c,p,max_grid_level,d_min,level_zero_cutoff,highest_cutoff,madelung_value
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,4.777041160595959,9.554082321191919,4.990071527347744
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,5.374171305670454,10.748342611340908,5.018326168945867
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,5.971301450744949,11.942602901489899,5.043082636409555
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,6.568431595819444,13.136863191638888,5.045360998463881
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,7.1655617408939385,14.331123481787877,5.039478628096808
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,7.762691885968434,15.525383771936868,5.036728146211792
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,8.35982203104293,16.71964406208586,5.03792031476784
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,8.956952176117424,17.913904352234848,5.03935764968627
CaF2,2.758026,2.758026,2.758026,6,1,2.3885205802979796,9.554082321191919,19.108164642383837,5.03933313364729
