structure,level_one_gridspacing_a,level_one_gridspacing_b,level_one_gridspacing_c,p,max_grid_level,d_min,level_zero_cutoff,highest_cutoff,madelung_value
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,4.777041160595959,38.216329284767674,5.038782081714073
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,5.374171305670454,42.99337044536363,5.038797315659272
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,5.971301450744949,47.770411605959595,5.038784123164753
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,6.568431595819444,52.54745276655555,5.038788359843725
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,7.1655617408939385,57.32449392715151,5.038785443476866
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,7.762691885968434,62.10153508774747,5.038784026047074
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,8.35982203104293,66.87857624834344,5.038784526083661
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,8.956952176117424,71.65561740893939,5.038784442163748
CaF2,0.6895065,0.6895065,0.6895065,6,3,2.3885205802979796,9.554082321191919,76.43265856953535,5.038784930746558
