structure,level_one_gridspacing_a,level_one_gridspacing_b,level_one_gridspacing_c,p,max_grid_level,d_min,level_zero_cutoff,highest_cutoff,madelung_value
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,4.777041160595959,19.108164642383837,5.039407301591342
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,5.374171305670454,21.496685222681815,5.037105884296854
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,5.971301450744949,23.885205802979797,5.039151242805809
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,6.568431595819444,26.273726383277776,5.038967124294415
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,7.1655617408939385,28.662246963575754,5.0388431387381845
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,7.762691885968434,31.050767543873736,5.038817762887981
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,8.35982203104293,33.43928812417172,5.038765718086704
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,8.956952176117424,35.827808704469696,5.038807950945135
CaF2,1.379013,1.379013,1.379013,6,2,2.3885205802979796,9.554082321191919,38.216329284767674,5.038769671789296
