structure,level_one_gridspacing_a,level_one_gridspacing_b,level_one_gridspacing_c,p,max_grid_level,d_min,level_zero_cutoff,highest_cutoff,madelung_value
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,7.290297111851822,58.322376894814575,1.7626745661526624
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,8.2015842508333,65.6126740066664,1.7626748259867602
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,9.112871389814778,72.90297111851822,1.7626747340298248
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,10.024158528796255,80.19326823037004,1.7626747587328044
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,10.935445667777733,87.48356534222187,1.7626747604835473
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,11.84673280675921,94.77386245407368,1.76267477621399
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,12.758019945740688,102.06415956592551,1.7626747749240632
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,13.669307084722165,109.35445667777732,1.7626747754140535
CsCl,0.526131875,0.526131875,0.526131875,6,3,3.645148555925911,14.580594223703644,116.64475378962915,1.7626747769477278
