structure,level_one_gridspacing_a,level_one_gridspacing_b,level_one_gridspacing_c,p,max_grid_level,d_min,level_zero_cutoff,highest_cutoff,madelung_value
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,5.5881261488618685,44.70500919089495,1.7475644031011264
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,6.286641917469602,50.293135339756816,1.747564620371451
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,6.9851576860773354,55.881261488618684,1.747564491538002
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,7.683673454685069,61.46938763748055,1.7475644938019221
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,8.382189223292803,67.05751378634243,1.7475645002173077
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,9.080704991900536,72.64563993520429,1.747564509196385
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,9.77922076050827,78.23376608406616,1.7475645070293688
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,10.477736529116003,83.82189223292802,1.7475645060661789
NaCl-primitive,0.493925365,0.49392527125,0.4939252499999999,6,3,2.7940630744309343,11.176252297723737,89.4100183817899,1.7475645082102582
