structure,level_one_gridspacing_a,level_one_gridspacing_b,level_one_gridspacing_c,p,max_grid_level,d_min,level_zero_cutoff,highest_cutoff,madelung_value
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,4.661129271357369,9.322258542714739,1.624246825352903
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,5.24377043027704,10.48754086055408,1.6347490733074166
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,5.826411589196711,11.652823178393422,1.6392156129569604
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,6.409052748116383,12.818105496232766,1.6430365419535602
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,6.991693907036054,13.983387814072108,1.6426212877357145
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,7.574335065955725,15.14867013191145,1.6414837993773115
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,8.156976224875397,16.313952449750794,1.6408441465763681
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,8.739617383795068,17.479234767590135,1.641044196949973
ZnS-wurtzite,1.90289806,1.90289806,2.071613013125337,6,1,2.3305646356786847,9.322258542714739,18.644517085429477,1.6413486738824712
