structure,level_one_gridspacing_a,level_one_gridspacing_b,level_one_gridspacing_c,p,max_grid_level,d_min,level_zero_cutoff,highest_cutoff,madelung_value
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,4.7200722774842125,37.7605782198737,1.6380524050133978
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,5.310081312169739,42.480650497357914,1.6380563378573945
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,5.900090346855266,47.20072277484213,1.6380553407936262
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,6.490099381540793,51.92079505232634,1.638056204646063
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,7.080108416226318,56.64086732981055,1.638054955773742
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,7.670117450911845,61.36093960729476,1.6380547830654673
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,8.260126485597372,66.08101188477897,1.6380549991787197
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,8.8501355202829,70.8010841622632,1.6380549660213615
ZnS-zincblende,0.68128375,0.68128375,0.68128375,6,3,2.3600361387421063,9.440144554968425,75.5211564397474,1.6380549910794706
