structure,level_one_gridspacing_a,level_one_gridspacing_b,level_one_gridspacing_c,p,max_grid_level,d_min,level_zero_cutoff,highest_cutoff,madelung_value
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,4.7200722774842125,18.88028910993685,1.6386966789835058
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,5.310081312169739,21.240325248678957,1.6378379924096886
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,5.900090346855266,23.600361387421064,1.6381998336391308
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,6.490099381540793,25.96039752616317,1.6380931860521053
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,7.080108416226318,28.320433664905273,1.63808902742917
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,7.670117450911845,30.68046980364738,1.6380576892275103
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,8.260126485597372,33.04050594238949,1.6380548251104143
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,8.8501355202829,35.4005420811316,1.6380616621645008
ZnS-zincblende,1.3625675,1.3625675,1.3625675,6,2,2.3600361387421063,9.440144554968425,37.7605782198737,1.6380481748176705
